GID	GO
TraesCS1A01G215500	GO:0000272
TraesCS1A01G215500	GO:0016161
TraesCS1A01G400500	GO:0003824
TraesCS1A01G402100	GO:0005840
TraesCS1A01G402100	GO:0006364
TraesCS1A01G402100	GO:0043022
TraesCS1A01G427200	GO:0005515
TraesCS1B01G269400	GO:0003924
TraesCS1B01G269400	GO:0005200
TraesCS1B01G269400	GO:0005525
TraesCS1B01G269400	GO:0005874
TraesCS1B01G269400	GO:0007017
TraesCS1B01G310300	GO:0005576
TraesCS1B01G310300	GO:0009664
TraesCS1B01G320800	GO:0003924
TraesCS1B01G320800	GO:0005200
TraesCS1B01G320800	GO:0005525
TraesCS1B01G320800	GO:0005874
TraesCS1B01G320800	GO:0007017
TraesCS1B01G429200	GO:0003824
TraesCS1B01G431200	GO:0005840
TraesCS1B01G431200	GO:0006364
TraesCS1B01G431200	GO:0008152
TraesCS1B01G431200	GO:0043022
TraesCS1B01G431200	GO:0070569
TraesCS1B01G455200	GO:0005524
TraesCS1D01G143900	GO:0005515
TraesCS1D01G146600	GO:0016020
TraesCS1D01G146600	GO:0016760
TraesCS1D01G146600	GO:0030244
TraesCS1D01G215400	GO:0005576
TraesCS1D01G215400	GO:0019953
TraesCS1D01G257300	GO:0016491
TraesCS1D01G257300	GO:0055114
TraesCS1D01G257300	GO:0071949
TraesCS1D01G299700	GO:0005576
TraesCS1D01G299700	GO:0009664
TraesCS1D01G309200	GO:0003924
TraesCS1D01G309200	GO:0005200
TraesCS1D01G309200	GO:0005525
TraesCS1D01G309200	GO:0005874
TraesCS1D01G309200	GO:0007017
TraesCS1D01G408300	GO:0003824
TraesCS1D01G409700	GO:0005840
TraesCS1D01G409700	GO:0006364
TraesCS1D01G409700	GO:0008152
TraesCS1D01G409700	GO:0043022
TraesCS1D01G409700	GO:0070569
TraesCS2A01G107600	GO:0004601
TraesCS2A01G107600	GO:0006979
TraesCS2A01G107600	GO:0020037
TraesCS2A01G107600	GO:0055114
TraesCS2A01G249600	GO:0003676
TraesCS2A01G489600	GO:0004013
TraesCS2A01G489600	GO:0006730
TraesCS2A01G489600	GO:0019510
TraesCS2A01G489600	GO:0051287
TraesCS2A01G510700	GO:0016787
TraesCS2A01G563100	GO:0003735
TraesCS2A01G563100	GO:0005622
TraesCS2A01G563100	GO:0005840
TraesCS2A01G563100	GO:0006412
TraesCS2B01G263300	GO:0000166
TraesCS2B01G263300	GO:0002161
TraesCS2B01G263300	GO:0004812
TraesCS2B01G263300	GO:0004832
TraesCS2B01G263300	GO:0005524
TraesCS2B01G263300	GO:0005737
TraesCS2B01G263300	GO:0006418
TraesCS2B01G263300	GO:0006438
TraesCS2B01G271300	GO:0003676
TraesCS2B01G272300	GO:0009522
TraesCS2B01G272300	GO:0015979
TraesCS2B01G272300	GO:0016020
TraesCS2B01G272300	GO:0016168
TraesCS2B01G341200	GO:0003824
TraesCS2B01G341200	GO:0005975
TraesCS2B01G341200	GO:0016853
TraesCS2B01G341200	GO:0019318
TraesCS2B01G341200	GO:0030246
TraesCS2B01G532600	GO:0005515
TraesCS2B01G534400	GO:0003993
TraesCS2B01G534400	GO:0016787
TraesCS2B01G534400	GO:0046872
TraesCS2B01G538800	GO:0016787
TraesCS2B01G623400	GO:0003735
