gene_a	gene_b	score
1102060700	1102096500	3.0874853
1102060700	1102125100	3.1828313
1102060700	1102147000	3.157107
1102060700	1102148400	3.160505
1102060700	1102307400	3.055133
1102060700	1202120600	3.0904424
1102060700	1202130900	3.1383913
1102060700	1202164500	3.0734413
1102060700	1202273100	3.2220962
1102060700	1202294200	3.3723328
1102060700	1302125600	3.0128765
1102060700	1302128800	3.1348276
1102060700	1302145100	3.2576308
1102060700	1302283800	3.2831938
1102060700	1302306800	3.1705298
1102060700	2102066200	3.2562277
1102060700	2102094200	3.246369
1102060700	2102109900	3.2539542
1102060700	2102168300	3.4760754
1102060700	2102260700	3.1177285
1102060700	2102276100	3.03274
1102060700	2102278600	3.0026329
1102060700	2102294000	3.083756
1102060700	2102296000	3.757902
1102060700	2102339200	3.3602781
1102060700	2102383600	3.166445
1102060700	2102443200	3.1950388
1102060700	2202183500	3.4581468
1102060700	2202189500	3.0466366
1102060700	2202194400	3.6172032
1102060700	2202262600	3.0783165
1102060700	2202312400	3.0206168
1102060700	2202400600	3.210086
1102060700	2302064500	3.1336694
1102060700	2302110100	3.382182
1102060700	2302164100	3.0745778
1102060700	2302175700	3.030078
1102060700	2302237800	3.1036181
1102060700	2302379700	3.0937674
1102060700	2302442300	3.1915345
1102060700	3102252700	3.2016926
1102060700	3102267900	3.3701386
1102060700	3202271800	3.1562042
1102060700	3202370900	3.0664806
1102060700	3202376600	3.073469
1102060700	3202388800	3.0752008
1102060700	3302003200	3.269926
1102060700	3302039000	3.008371
1102060700	3302137600	3.1340573
1102060700	3302268000	3.0745034
1102060700	3302349900	3.1075888
1102060700	3302535900	3.2434425
1102060700	4102022600	3.1387658
1102060700	4102116000	3.3475409
1102060700	4102167400	3.1615307
1102060700	4102324000	3.038074
1102060700	4202188200	3.3379104
1102060700	4202190000	3.3465514
1102060700	4202233100	3.1046095
1102060700	4302109200	3.1596885
1102060700	4302157600	3.258263
1102060700	4302191400	3.4986253
1102060700	4302298000	3.3650827
1102060700	5102032000	3.0101197
1102060700	5102038200	4.3668823
1102060700	5102104000	3.0118694
1102060700	5102105800	3.0189533
1102060700	5102170300	3.1393156
1102060700	5102279400	3.829325
1102060700	5102288400	3.23095
1102060700	5102320100	3.3655312
1102060700	5102443700	3.2842193
1102060700	5202107700	3.1125853
1102060700	5202167100	3.5400429
1102060700	5202287900	3.1601863
1102060700	5202433000	3.1959572
1102060700	5202437200	3.0360706
1102060700	5202461300	3.142338
1102060700	5302045600	3.5452824
1102060700	5302286200	3.3340507
1102060700	5302296200	3.4270475
1102060700	5302446300	3.1059146
1102060700	6102268300	3.6374729
1102060700	6202162300	3.0982256
1102060700	6202256900	3.2764952
1102060700	6202425000	3.1634479
1102060700	6302177000	3.0393317
1102060700	6302209400	3.0781436
1102060700	6302269300	3.1613157
1102060700	7102020200	3.4562895
1102060700	7102261600	3.156037
1102060700	7102278700	3.1280034
1102060700	7102296800	3.9171436
1102060700	7102300500	3.1999633
1102060700	7102309900	3.1157057
1102060700	7102344500	3.1761947
1102060700	7102469100	3.279873
1102060700	7202152900	3.2422292
1102060700	7202159700	3.1146116
1102060700	7202243300	3.3467634
1102060700	7202355300	3.0097883
1102060700	7202408800	3.847481
1102060700	7302016500	3.1701279
1102060700	7302262800	3.606875
1102060700	7302291300	3.0921292
1102060700	7302292800	3.27537
1102060700	7302443900	3.323289
1102060700	7302456600	3.0613596
1102060700	7302488700	3.068181
1102060700	502127100	3.079537
1102092900	1102096500	3.855544
1102092900	1102105400	3.2675393
1102092900	1102125100	3.6991875
1102092900	1102147000	3.6979759
1102092900	1102148400	4.021519
1102092900	1102159100	3.47676
1102092900	1102284800	4.0544677
1102092900	1102286300	4.232969
1102092900	1102307400	4.104851
1102092900	1102399800	3.3119125
1102092900	1102445700	3.0594077
1102092900	1202120600	3.896065
1102092900	1202127200	3.4739861
1102092900	1202130900	3.8756895
1102092900	1202164500	3.2306256
1102092900	1202166100	3.6481867
1102092900	1202174800	3.1924133
1102092900	1202230300	3.5366871
1102092900	1202236100	3.1941602
1102092900	1202240000	3.8618484
1102092900	1202274700	4.017608
1102092900	1202294200	4.180488
1102092900	1202295700	4.883568
1102092900	1202318200	3.4497643
1102092900	1202380800	4.786583
1102092900	1202398800	3.0427535
1102092900	1202427900	3.4194899
1102092900	1302105500	3.7205114
1102092900	1302125600	3.5024009
1102092900	1302128800	3.5458255
1102092900	1302145100	3.743676
1102092900	1302146100	3.7345943
1102092900	1302156400	3.41418
1102092900	1302264200	3.115737
1102092900	1302283800	4.483915
1102092900	1302285300	4.0167217
1102092900	1302287800	3.5465355
1102092900	1302306800	3.75214
1102092900	1302405400	3.003831
1102092900	1302454400	3.5327473
1102092900	2102066100	3.1497474
1102092900	2102094200	4.1969595
1102092900	2102108900	3.97376
1102092900	2102109900	3.0713441
1102092900	2102110500	4.000775
1102092900	2102125500	3.498356
1102092900	2102163700	3.3227005
1102092900	2102170800	4.316187
1102092900	2102171800	3.587823
1102092900	2102260700	3.1929088
1102092900	2102276100	4.314023
1102092900	2102278600	3.8423266
1102092900	2102294000	3.7340698
1102092900	2102296000	3.5007813
1102092900	2102302600	3.0502212
1102092900	2102339200	3.1267047
1102092900	2102354200	3.5367496
1102092900	2102383600	3.4980845
1102092900	2102432600	4.1382985
1102092900	2102443200	3.2083063
1102092900	2102485400	4.0363483
1102092900	2202078200	3.795463
1102092900	2202109000	3.4916697
1102092900	2202113500	3.3442085
1102092900	2202126500	3.374846
1102092900	2202129300	3.6965928
1102092900	2202134300	3.393936
1102092900	2202147700	3.56712
1102092900	2202148000	3.3896928
1102092900	2202170400	3.1056743
1102092900	2202183500	3.383208
1102092900	2202189500	3.358243
1102092900	2202281300	3.7725275
1102092900	2202289000	3.051112
1102092900	2202296200	3.8709552
1102092900	2202310300	3.6735225
1102092900	2202312400	3.5583315
1102092900	2202318500	3.7409587
1102092900	2202333300	3.1749814
1102092900	2202375100	4.0533004
1102092900	2202400600	3.518355
1102092900	2202443000	4.610655
1102092900	2202453900	4.009664
1102092900	2202516000	3.026378
1102092900	2302064500	4.01103
1102092900	2302064600	3.688895
1102092900	2302109000	4.3626146
1102092900	2302110100	3.6546385
1102092900	2302111100	4.4154925
1102092900	2302120400	3.068453
1102092900	2302128300	3.1378393
1102092900	2302133900	3.6020968
1102092900	2302164100	3.6391847
1102092900	2302175700	3.1976025
1102092900	2302179300	3.2689018
1102092900	2302237800	3.361968
1102092900	2302263000	3.2034798
1102092900	2302275100	4.8153076
1102092900	2302291600	4.1614385
1102092900	2302293900	4.715482
1102092900	2302323900	3.1423905
1102092900	2302379700	3.7829878
1102092900	2302421300	3.9009407
1102092900	2302442300	3.097193
1102092900	2302450100	3.0717888
1102092900	3102007300	3.2650533
1102092900	3102085600	4.079772
