gene_a	gene_b	score
1202250300	7302270600	3.114221
2102142800	3302353600	3.0592644
2102142800	7302270600	3.0955737
2102277900	6302077000	3.1036963
2102277900	7302270600	3.2932835
2102364100	7302270600	3.1220067
2302302900	7302270600	3.9700987
3102302800	7302270600	3.0504544
3102488700	7302270600	3.6747704
3202146300	7302270600	3.0530457
3302353600	7302270600	3.0276623
3302360500	7302270600	3.2938073
4102151200	7302270600	3.2327664
4202068300	7302270600	3.143721
4202229200	7302270600	3.0384076
4302174300	7302270600	3.112765
5102266600	7302270600	3.1499991
5102499900	7302270600	3.436293
5202298800	7302270600	3.0553744
5202398500	6302217800	3.8454034
5202398500	7302270600	3.1320941
6102274400	7302270600	3.0617666
6202206400	6302165700	3.0607946
6202206400	7302270600	3.1100767
6302077000	7302270600	3.077781
6302165700	7102193200	3.0344527
6302165700	7302270600	3.2511299
6302217800	6302401100	3.0577075
6302217800	7302270600	3.8432438
6302401100	7302270600	3.1508567
7102133000	7302270600	3.1893082
7102193200	7302270600	3.475651
7302214900	7302270600	3.1615627
