GID
BDIBD21-3.F0001500
BDIBD21-3.F0001400
BDIBD21-3.2G0407900
BDIBD21-3.2G0496700
BDIBD21-3.2G0538900
BDIBD21-3.2G0521000
BDIBD21-3.2G0269500
BDIBD21-3.2G0593600
BDIBD21-3.2G0684200
BDIBD21-3.2G0722700
BDIBD21-3.2G0271500
BDIBD21-3.2G0517800
BDIBD21-3.2G0174900
BDIBD21-3.2G0147000
BDIBD21-3.2G0000700
BDIBD21-3.2G0549100
BDIBD21-3.2G0112600
BDIBD21-3.2G0733700
BDIBD21-3.2G0220000
BDIBD21-3.2G0736200
BDIBD21-3.2G0121500
BDIBD21-3.2G0392000
BDIBD21-3.2G0115400
BDIBD21-3.2G0308200
BDIBD21-3.2G0593100
BDIBD21-3.2G0578700
BDIBD21-3.2G0735300
BDIBD21-3.2G0466100
BDIBD21-3.2G0042100
BDIBD21-3.2G0528400
BDIBD21-3.2G0264300
BDIBD21-3.2G0654900
BDIBD21-3.2G0704900
BDIBD21-3.2G0023600
BDIBD21-3.2G0788600
BDIBD21-3.2G0120000
BDIBD21-3.2G0336700
BDIBD21-3.2G0196400
BDIBD21-3.2G0796200
BDIBD21-3.2G0521200
BDIBD21-3.2G0041400
BDIBD21-3.2G0053800
BDIBD21-3.2G0013100
BDIBD21-3.2G0402600
BDIBD21-3.2G0411500
BDIBD21-3.2G0711900
BDIBD21-3.2G0190900
BDIBD21-3.2G0567500
BDIBD21-3.2G0401400
BDIBD21-3.2G0795000
BDIBD21-3.2G0132900
BDIBD21-3.2G0576300
BDIBD21-3.2G0565400
BDIBD21-3.2G0501900
BDIBD21-3.2G0595000
BDIBD21-3.2G0399900
BDIBD21-3.2G0429600
BDIBD21-3.2G0281900
BDIBD21-3.2G0406000
BDIBD21-3.2G0651400
BDIBD21-3.2G0488100
BDIBD21-3.2G0557300
BDIBD21-3.2G0307400
BDIBD21-3.2G0118900
BDIBD21-3.2G0347800
BDIBD21-3.2G0433000
BDIBD21-3.2G0422500
BDIBD21-3.2G0573200
BDIBD21-3.2G0465100
BDIBD21-3.2G0022200
BDIBD21-3.2G0512100
BDIBD21-3.2G0538400
BDIBD21-3.2G0367400
BDIBD21-3.2G0066800
BDIBD21-3.2G0209800
BDIBD21-3.2G0200100
BDIBD21-3.2G0530300
BDIBD21-3.2G0547100
BDIBD21-3.2G0507500
BDIBD21-3.2G0179100
BDIBD21-3.2G0514200
BDIBD21-3.2G0636400
BDIBD21-3.2G0100700
BDIBD21-3.2G0546700
BDIBD21-3.2G0694200
BDIBD21-3.2G0129800
BDIBD21-3.2G0508600
BDIBD21-3.2G0375000
BDIBD21-3.2G0351100
BDIBD21-3.2G0485700
BDIBD21-3.2G0752200
BDIBD21-3.2G0040200
BDIBD21-3.2G0760300
BDIBD21-3.2G0207000
BDIBD21-3.2G0560700
BDIBD21-3.2G0345200
BDIBD21-3.2G0219900
BDIBD21-3.2G0746800
BDIBD21-3.2G0330400
BDIBD21-3.2G0764100
BDIBD21-3.2G0621000
BDIBD21-3.2G0754000
BDIBD21-3.2G0194500
BDIBD21-3.2G0183300
BDIBD21-3.2G0563300
BDIBD21-3.2G0674400
BDIBD21-3.2G0723700
BDIBD21-3.2G0062000
BDIBD21-3.2G0492400
BDIBD21-3.2G0653800
BDIBD21-3.2G0539900
BDIBD21-3.2G0113600
BDIBD21-3.2G0762800
BDIBD21-3.2G0084400
BDIBD21-3.2G0197000
BDIBD21-3.2G0311600
BDIBD21-3.2G0620900
BDIBD21-3.2G0261200
BDIBD21-3.2G0691100
BDIBD21-3.2G0614100
BDIBD21-3.2G0447400
BDIBD21-3.2G0462400
BDIBD21-3.2G0792600
BDIBD21-3.2G0550300
BDIBD21-3.2G0247100
BDIBD21-3.2G0231900
BDIBD21-3.2G0109200
BDIBD21-3.2G0021800
BDIBD21-3.2G0327700
BDIBD21-3.2G0115900
BDIBD21-3.2G0759000
BDIBD21-3.2G0108100
BDIBD21-3.2G0376300
BDIBD21-3.2G0239900
BDIBD21-3.2G0158700
BDIBD21-3.2G0402500
BDIBD21-3.2G0741000
BDIBD21-3.2G0427300
BDIBD21-3.2G0460800
BDIBD21-3.2G0696200
BDIBD21-3.2G0186400
BDIBD21-3.2G0438900
BDIBD21-3.2G0169300
BDIBD21-3.2G0333600
BDIBD21-3.2G0562300
BDIBD21-3.2G0553900
BDIBD21-3.2G0169500
BDIBD21-3.2G0400400
BDIBD21-3.2G0245100
BDIBD21-3.2G0237100
BDIBD21-3.2G0803600
BDIBD21-3.2G0777400
BDIBD21-3.2G0418600
BDIBD21-3.2G0359200
BDIBD21-3.2G0448600
BDIBD21-3.2G0710900
BDIBD21-3.2G0221000
BDIBD21-3.2G0040400
BDIBD21-3.2G0037600
BDIBD21-3.2G0392400
BDIBD21-3.2G0357000
BDIBD21-3.2G0222600
BDIBD21-3.2G0625400
BDIBD21-3.2G0719400
BDIBD21-3.2G0451800
BDIBD21-3.2G0426600
BDIBD21-3.2G0461500
BDIBD21-3.2G0054700
BDIBD21-3.2G0097200
BDIBD21-3.2G0469200
BDIBD21-3.2G0132100
BDIBD21-3.2G0450300
BDIBD21-3.2G0505700
BDIBD21-3.2G0409900
BDIBD21-3.2G0176800
BDIBD21-3.2G0756200
BDIBD21-3.2G0659200
BDIBD21-3.2G0677900
BDIBD21-3.2G0249000
BDIBD21-3.2G0090900
BDIBD21-3.2G0646000
BDIBD21-3.2G0392900
BDIBD21-3.2G0778600
BDIBD21-3.2G0184300
BDIBD21-3.2G0190000
BDIBD21-3.2G0236400
BDIBD21-3.2G0216900
BDIBD21-3.2G0019900
BDIBD21-3.2G0083500
BDIBD21-3.2G0791300
BDIBD21-3.2G0482500
BDIBD21-3.2G0325500
BDIBD21-3.2G0341600
BDIBD21-3.2G0544900
BDIBD21-3.2G0535000
BDIBD21-3.2G0717900
BDIBD21-3.2G0597300
BDIBD21-3.2G0297200
BDIBD21-3.2G0523600
BDIBD21-3.2G0522400
BDIBD21-3.2G0586500
BDIBD21-3.2G0131000
BDIBD21-3.2G0698300
BDIBD21-3.2G0186600
BDIBD21-3.2G0733800
BDIBD21-3.2G0039900
BDIBD21-3.2G0558500
BDIBD21-3.2G0278100
BDIBD21-3.2G0608100
BDIBD21-3.2G0015100
BDIBD21-3.2G0213400
BDIBD21-3.2G0675000
BDIBD21-3.2G0090700
BDIBD21-3.2G0385400
BDIBD21-3.2G0743800
BDIBD21-3.2G0200500
BDIBD21-3.2G0663600
BDIBD21-3.2G0656500
BDIBD21-3.2G0063400
BDIBD21-3.2G0119600
BDIBD21-3.2G0735000
BDIBD21-3.2G0349600
BDIBD21-3.2G0632000
BDIBD21-3.2G0024900
BDIBD21-3.2G0244600
BDIBD21-3.2G0553600
BDIBD21-3.2G0194900
BDIBD21-3.2G0397100
BDIBD21-3.2G0540300
BDIBD21-3.2G0143100
BDIBD21-3.2G0247800
BDIBD21-3.2G0279200
BDIBD21-3.2G0726800
BDIBD21-3.2G0284900
BDIBD21-3.2G0107500
BDIBD21-3.2G0089000
BDIBD21-3.2G0535600
BDIBD21-3.2G0041900
BDIBD21-3.2G0453600
BDIBD21-3.2G0646200
BDIBD21-3.2G0509000
BDIBD21-3.2G0597100
BDIBD21-3.2G0542000
BDIBD21-3.2G0451500
BDIBD21-3.2G0300000
BDIBD21-3.2G0367300
BDIBD21-3.2G0623200
BDIBD21-3.2G0542500
BDIBD21-3.2G0467100
BDIBD21-3.2G0747700
BDIBD21-3.2G0022000
BDIBD21-3.2G0372100
BDIBD21-3.2G0558800
BDIBD21-3.2G0699800
BDIBD21-3.2G0401800
BDIBD21-3.2G0428700
BDIBD21-3.2G0051200
BDIBD21-3.2G0223200
BDIBD21-3.2G0402300
BDIBD21-3.2G0354700
BDIBD21-3.2G0250300
BDIBD21-3.2G0476200
BDIBD21-3.2G0562400
BDIBD21-3.2G0430300
BDIBD21-3.2G0738400
BDIBD21-3.2G0717000
BDIBD21-3.2G0293300
BDIBD21-3.2G0383500
BDIBD21-3.2G0180400
BDIBD21-3.2G0469000
