geneid	Bd21_D2_mock_R1	Bd21_D2_mock_R2	Bd21_D2_mock_R3	Bd21_D2_treated_R1	Bd21_D2_treated_R2	Bd21_D2_treated_R3	Bd21_D4_mock_R1	Bd21_D4_mock_R2	Bd21_D4_mock_R3	Bd21_D4_treated_R1	Bd21_D4_treated_R2	Bd21_D4_treated_R3	Bd21_D6_mock_R1	Bd21_D6_mock_R2	Bd21_D6_mock_R3	Bd21_D6_treated_R1	Bd21_D6_treated_R2	Bd21_D6_treated_R3
BdiBd21-3.1G0154300	8.09923468547981	6.95966002379916	6.66255007147721	8.00742268066674	8.49220591604947	8.88129841518215	8.70529463972875	9.87943663772263	8.34113311082825	11.2858871133706	9.39948093490332	10.1537380011062	11.7576937191867	8.26282656796064	11.2808161549343	13.2241899273154	10.1833140131428	12.1235704130498
BdiBd21-3.2G0438200	5.76628327302696	6.56564538992762	4.94661655394385	6.84629685475982	9.15191926587078	5.46403208762781	4.48891785095903	5.57037873824678	7.22236583204089	5.75125272032902	6.29707114247837	10.8843504922238	8.4495244109028	6.22036783730078	7.83332523171671	11.609872068967	8.48348228637375	8.47002174186655
BdiBd21-3.4G0000200	3.69474661618303	3.11878030822449	2.06952969155219	3.47783539026316	4.76753553017699	3.84943504627914	2.90882943626958	4.21266083250156	2.88265360765597	5.14382233543966	5.32241356516562	5.75041436523573	3.44871243391212	1.87495830561468	3.73269024241089	7.54442454639424	5.27280403627989	6.96924695524197
BdiBd21-3.1G1029700	1.78189854198619	1.60419227710706	1.33744143046813	1.51022109931671	1.93282505573347	3.33742437249438	1.79984880103769	1.7444812923175	1.8813706627542	4.28254691534196	2.58582113445552	2.49378400432048	1.62904144884438	1.6559885412805	2.4284549586782	2.78283250260618	2.89643420502726	2.80888532930496
BdiBd21-3.3G0412900	5.24023049156812	4.21731233900161	3.04048022300083	3.99874962959209	4.99610741900534	4.9870403406783	5.30102038790141	5.26133002324755	3.45013341440825	8.22296662641827	5.51469047365897	7.12881442165354	5.99867918639227	2.38366691853876	4.55056372702152	9.87839278720804	8.03434974218829	8.85285780938429
BdiBd21-3.3G0413000	0.241825267385714	0.290277826119177	0.280510881387223	0.53047264417648	0.363595008834926	0.466822537171314	0.28225754322742	0.200876490434224	0.280356689180659	0.260114624321002	0.22512318907928	0.172536391584714	0.165203163357416	0.15347944007014	0.140616884655185	0.122817612637274	0.184979430208678	0.170882688585509
BdiBd21-3.2G0250600	0	0	0.0571730446509152	0.01670939927267	0.0539922786687566	0	0	0.0497154764045478	0.0693862499075376	0.0563294247871438	0	0.0689793578020492	0.0505069595966993	0.0379850497432338	0.0609029057759684	0.0851101147168133	0.0228905345717336	0.0683182139712735
BdiBd21-3.2G0626800	0	0	0.0226128681332188	0.0132176778286073	0.0284730980063126	0.0304640317052797	0.0297548019258345	0	0	0	0	0.0181883045459126	0.0266350975742363	0	0	0.0336624332785751	0	0
BdiBd21-3.3G0612100	0	0	0	0.0552573943273335	0	0	0	0	0	0	0	0.0760374348256467	0.055674911610463	0	0	0	0	0
BdiBd21-3.4G0290300	4.84021397236826	5.64535211071691	3.4330266498945	4.31815787844154	5.33499199383497	5.50312864909113	8.00533540508974	6.27275689601065	4.58829604576322	4.83807418056188	6.06833924057967	13.3870666233016	3.04554970045583	4.2152595240359	0.925820456973812	8.63617043682121	8.21214665898871	8.4468315715123
BdiBd21-3.4G0290600	27.2045634607532	20.2344067249632	22.6468670581938	24.4951262129967	26.3528422465424	30.2816631774524	30.0542358128206	29.7075792055095	25.6640864859371	35.185411572566	41.3990144008483	51.1828656529175	23.0272610651402	36.0082221544838	17.8870386747773	48.5525483735436	47.0796435276885	41.3248216256941
