gene_a	gene_b	score
1102020500	1102030600	3.086156
1102020500	1102097400	3.3288858
1102020500	1102153300	3.7112753
1102020500	1102166900	3.363537
1102020500	1102173400	3.0578904
1102020500	1102231100	3.0516686
1102020500	1102266300	3.2381454
1102020500	1102269500	3.326535
1102020500	1102300800	3.2591867
1102020500	1102404500	3.064456
1102020500	1102429400	3.1039371
1102020500	1202001100	3.0600076
1102020500	1202020600	3.2932582
1102020500	1202128400	3.0529003
1102020500	1202145500	3.501258
1102020500	1202174700	3.3396866
1102020500	1202191000	3.3462505
1102020500	1202191100	3.064758
1102020500	1202249800	3.2850385
1102020500	1202277300	3.1636212
1102020500	1202310800	3.4067914
1102020500	1202469500	3.2874243
1102020500	1302083600	3.2153301
1102020500	1302111900	3.443887
1102020500	1302117900	3.3558478
1102020500	1302165400	3.1655252
1102020500	1302165500	3.0281844
1102020500	1302174000	3.654023
1102020500	1302279500	3.1753023
1102020500	1302285200	3.1690397
1102020500	1302414600	3.000912
1102020500	1302421400	3.3009682
1102020500	1302439000	3.46538
1102020500	2102050600	3.081616
1102020500	2102076900	3.104489
1102020500	2102090000	3.0999904
1102020500	2102132900	3.0685802
1102020500	2102142800	3.064849
1102020500	2102171800	3.013336
1102020500	2102202900	3.8493726
1102020500	2102224000	3.0460184
1102020500	2102283800	3.1365538
1102020500	2102291800	3.0783472
1102020500	2102331600	3.3089714
1102020500	2102378900	3.0807211
1102020500	2102380700	3.248487
1102020500	2102512100	3.392449
1102020500	2102548300	3.6995063
1102020500	2202048700	3.195502
1102020500	2202113800	3.2881453
1102020500	2202156400	3.1976826
1102020500	2202191000	3.2177484
1102020500	2202230000	3.1356678
1102020500	2202239600	3.102018
1102020500	2202274200	3.17164
1102020500	2202279600	3.101123
1102020500	2202282400	3.0335996
1102020500	2202297700	3.0616698
1102020500	2202309100	3.8244603
1102020500	2202320500	3.0177834
1102020500	2202332900	3.2853284
1102020500	2202359000	3.1032062
1102020500	2202381600	3.1784718
1102020500	2302103300	3.4375093
1102020500	2302142900	3.1850145
1102020500	2302177500	3.146835
1102020500	2302214500	3.2290847
1102020500	2302261500	3.4745898
1102020500	2302289800	3.2332556
1102020500	2302450100	3.020371
1102020500	2302460600	3.5149922
1102020500	2302463000	3.1752548
1102020500	2302513600	3.3211591
1102020500	2302540300	3.5695038
1102020500	2302540400	3.3421407
1102020500	3102085400	3.2895238
1102020500	3102173300	3.0815873
1102020500	3102193800	3.5779762
1102020500	3102236500	3.1265068
1102020500	3102250500	3.307129
1102020500	3102298800	3.3838727
1102020500	3102327200	3.0214024
1102020500	3102331500	3.125749
1102020500	3102376400	3.3304627
1102020500	3102377300	3.0414116
1102020500	3102417000	3.4279273
1102020500	3202102100	3.0353785
1102020500	3202197500	3.4952536
1102020500	3202313000	3.3822
1102020500	3202469000	3.6310146
1102020500	3302089900	3.1777203
1102020500	3302097000	3.2530916
1102020500	3302173300	3.5714602
1102020500	3302191700	3.163406
1102020500	3302279100	3.3097947
1102020500	3302315100	3.070063
1102020500	3302317400	3.329047
1102020500	3302348600	3.420926
1102020500	3302349200	3.4499514
1102020500	3302353600	3.179857
1102020500	3302412500	3.3612256
1102020500	3302426600	3.3697379
1102020500	3302514900	3.3823495
1102020500	4102008300	3.0697753
1102020500	4102169200	3.3882341
1102020500	4102169500	3.7905211
1102020500	4102182300	3.2970984
1102020500	4102190600	3.4690669
1102020500	4102192500	3.0333352
1102020500	4102220400	3.1989837
1102020500	4102239800	3.048552
1102020500	4102275900	3.1121576
1102020500	4102311700	3.0428922
1102020500	4102323500	3.0372567
1102020500	4102356100	3.2628317
1102020500	4102366100	3.2866838
1102020500	4102388200	3.9726226
1102020500	4102401400	3.18555
1102020500	4202052200	3.5252059
1102020500	4202088800	3.1756544
1102020500	4202126200	3.7085335
1102020500	4202144200	3.9698312
1102020500	4202204400	3.1940587
1102020500	4202205200	3.4509132
1102020500	4202232100	3.306831
1102020500	4202254300	3.6388803
1102020500	4202395700	3.0090544
1102020500	4302061400	3.21241
1102020500	4302109000	3.6846442
1102020500	4302117800	3.0772707
1102020500	4302144900	3.8211803
1102020500	4302151100	3.325431
1102020500	4302166700	3.0379376
1102020500	4302177000	3.258106
1102020500	4302197200	3.0840445
1102020500	4302205300	3.1187692
1102020500	4302282600	3.3536184
1102020500	4302318900	3.291009
1102020500	5102048400	3.2454836
1102020500	5102069500	4.0206995
1102020500	5102083600	3.0157976
1102020500	5102084500	3.0293071
1102020500	5102148500	3.406029
1102020500	5102198700	3.4319816
1102020500	5102208900	3.3376172
1102020500	5102210100	3.1859787
1102020500	5102267500	3.3531675
1102020500	5102279500	3.109257
1102020500	5102337100	3.1847258
1102020500	5102372900	3.496127
1102020500	5102494600	3.2383564
1102020500	5102533300	3.91315
1102020500	5102557300	3.3662167
1102020500	5202057800	3.1238558
1102020500	5202119400	3.3920882
1102020500	5202165500	3.1704385
1102020500	5202200700	3.11934
1102020500	5202208100	3.4141402
1102020500	5202252700	3.0410435
1102020500	5202278800	3.0916364
1102020500	5202288700	3.7242887
1102020500	5202291500	3.1894774
1102020500	5202321800	3.6225207
1102020500	5202326500	3.5824986
1102020500	5202362100	3.6625729
1102020500	5202374900	3.329603
1102020500	5202418100	3.184709
1102020500	5202492500	3.734511
1102020500	5202509700	3.2770963
1102020500	5202515500	3.278576
1102020500	5202531400	3.0432377
1102020500	5302004400	3.2249918
1102020500	5302020900	3.2189786
1102020500	5302021700	3.5915992
1102020500	5302022200	3.0843105
1102020500	5302031800	3.4619982
1102020500	5302058700	3.4562342
1102020500	5302065100	3.0634232
1102020500	5302173000	3.2285552
1102020500	5302216300	3.2329316
1102020500	5302286500	3.2700617
1102020500	5302378100	3.134398
1102020500	5302382400	3.542579
1102020500	5302459900	3.908505
1102020500	5302492900	3.3982213
1102020500	5302515700	3.1285996
1102020500	6102047700	3.4461787
1102020500	6102116500	3.1725261
1102020500	6102144800	3.43023
1102020500	6102208300	3.8271546
1102020500	6102263400	3.0804803
1102020500	6102287800	3.1286764
1102020500	6102349700	3.4455266
1102020500	6102373900	3.1241126
1102020500	6102375400	3.0010605
1102020500	6102392400	3.5187783
1102020500	6102419100	3.0249405
1102020500	6202134000	3.0593977
1102020500	6202144500	3.0437791
1102020500	6202236800	3.5791373
1102020500	6202317200	3.1125176
1102020500	6202318900	3.3454106
1102020500	6202322300	3.3147833
1102020500	6202376200	3.2856748
1102020500	6202389200	3.0960336
1102020500	6202413000	3.392948
1102020500	6302001600	3.4875531
1102020500	6302041600	3.186993
1102020500	6302105500	3.396113
1102020500	6302109800	3.312916
1102020500	6302154100	3.4498718
1102020500	6302191900	3.7627518
1102020500	6302198700	3.1109343
1102020500	6302221200	3.1224062
1102020500	6302251600	3.27636
1102020500	6302268500	3.2202544
1102020500	6302326400	3.2256289
1102020500	6302359900	3.3713777
1102020500	6302385700	3.0987194
1102020500	7102000200	3.006444
1102020500	7102003600	3.0328434
1102020500	7102033300	3.4517386
1102020500	7102102600	3.0861325
1102020500	7102205200	3.9406126
1102020500	7102233500	3.0718386
1102020500	7102332000	3.1703656
1102020500	7102356900	3.1415653
1102020500	7102549800	3.00428
1102020500	7202008100	3.1467338
1102020500	7202070100	3.4531758
