geneid,cluster
TRAESCS1B02G091900,0
TRAESCS1B02G097400,0
TRAESCS1B02G097700,0
TRAESCS1B02G099800,0
TRAESCS1B02G101800,0
TRAESCS1B02G102700,0
TRAESCS1B02G105300,0
TRAESCS1B02G115700,0
TRAESCS1B02G115800,0
TRAESCS1B02G117400,0
TRAESCS1B02G117500,0
TRAESCS1B02G119000,0
TRAESCS1B02G123000,0
TRAESCS1B02G126500,0
TRAESCS1B02G128500,0
TRAESCS1B02G128600,0
TRAESCS1B02G128800,0
TRAESCS1B02G129300,0
TRAESCS1B02G129600,0
TRAESCS1B02G132700,0
TRAESCS1B02G136200,0
TRAESCS1B02G138300,0
TRAESCS1B02G138600,0
TRAESCS1B02G139500,0
TRAESCS1B02G139600,0
TRAESCS1B02G141900,0
TRAESCS1B02G145000,0
TRAESCS1B02G145300,0
TRAESCS1B02G146000,0
TRAESCS1B02G147000,0
TRAESCS1B02G147600,0
TRAESCS1B02G148400,0
TRAESCS1B02G150900,0
TRAESCS1B02G154200,0
TRAESCS1B02G157000,0
TRAESCS1B02G158900,0
TRAESCS1B02G159400,0
TRAESCS1B02G162300,0
TRAESCS1B02G167700,0
TRAESCS1B02G167800,0
TRAESCS1B02G170600,0
TRAESCS1B02G172400,0
TRAESCS1B02G173400,0
TRAESCS1B02G173600,0
TRAESCS1B02G174700,0
TRAESCS1B02G183100,0
TRAESCS1B02G188300,0
TRAESCS1B02G189700,0
TRAESCS1B02G192200,0
TRAESCS1B02G192300,0
TRAESCS1B02G196600,0
TRAESCS1B02G197900,0
TRAESCS1B02G201400,0
TRAESCS1B02G201700,0
TRAESCS1B02G202500,0
TRAESCS1B02G203200,0
TRAESCS1B02G203300,0
TRAESCS1B02G203400,0
TRAESCS1B02G205300,0
TRAESCS1B02G206900,0
TRAESCS1B02G210900,0
TRAESCS1B02G211800,0
TRAESCS1B02G212400,0
TRAESCS1B02G213100,0
TRAESCS1B02G213600,0
TRAESCS1B02G219200,0
TRAESCS1B02G223300,0
TRAESCS1B02G224800,0
TRAESCS1B02G227100,0
TRAESCS1B02G229300,0
TRAESCS1B02G230600,0
TRAESCS1B02G231600,0
TRAESCS1B02G232300,0
TRAESCS1B02G238600,0
TRAESCS1B02G241400,0
TRAESCS1B02G241500,0
TRAESCS1B02G242300,0
TRAESCS1B02G242700,0
TRAESCS1B02G243800,0
TRAESCS1B02G247200,0
TRAESCS1B02G250900,0
TRAESCS1B02G253900,0
TRAESCS1B02G255800,0
TRAESCS1B02G257100,0
TRAESCS1B02G258100,0
TRAESCS1B02G258300,0
TRAESCS1B02G265900,0
TRAESCS1B02G267900,0
TRAESCS1B02G273400,0
TRAESCS1B02G273900,0
TRAESCS1B02G274000,0
TRAESCS1B02G275000,0
TRAESCS1B02G275700,0
TRAESCS1B02G279300,0
TRAESCS1B02G280600,0
TRAESCS1B02G281000,0
TRAESCS1B02G281100,0
TRAESCS1B02G282400,0
TRAESCS1B02G282900,0
TRAESCS1B02G283900,0
TRAESCS1B02G285500,0
TRAESCS1B02G285900,0
TRAESCS1B02G286100,0
TRAESCS1B02G288800,0
TRAESCS1B02G289700,0
TRAESCS1B02G291500,0
TRAESCS1B02G294300,0
TRAESCS1B02G295500,0
TRAESCS1B02G295600,0
TRAESCS1B02G296900,0
TRAESCS1B02G297900,0
TRAESCS1B02G299800,0
TRAESCS1B02G300600,0
TRAESCS1B02G301600,0
TRAESCS1B02G305900,0
TRAESCS1B02G308900,0
TRAESCS1B02G310100,0
TRAESCS1B02G312800,0
TRAESCS1B02G316400,0
TRAESCS1B02G318600,0
TRAESCS1B02G318700,0
TRAESCS1B02G320800,0
TRAESCS1B02G321800,0
TRAESCS1B02G322100,0
TRAESCS1B02G322400,0
TRAESCS1B02G324300,0
TRAESCS1B02G333600,0
TRAESCS1B02G334200,0
TRAESCS1B02G336000,0
TRAESCS1B02G344900,0
TRAESCS1B02G346200,0
TRAESCS1B02G351600,0
TRAESCS1B02G352100,0
TRAESCS1B02G352200,0
TRAESCS1B02G354000,0
TRAESCS1B02G355700,0
TRAESCS1B02G356900,0
TRAESCS1B02G361400,0
TRAESCS1B02G363700,0
