geneid	2dpi_mock	4dpi_mock	6dpi_mock	2dpi_inoc	4dpi_inoc	6dpi_inoc
TRAESCS1D01G336300	1.2865	1.1657	3.4089	1.1135	6.0756	24.924
TRAESCS1D01G342100	0.0672	0.0867	0.1164	0.2489	5.3867	17.1134
TRAESCS1D01G349700	10.7687	11.0487	18.8295	10.9918	22.9797	30.149
TRAESCS1D01G353100	56.8904	57.2145	81.4109	70.2975	144.0233	348.794
TRAESCS1D01G382900	0.6813	0.9797	0.9562	0.7731	4.0154	6.7839
TRAESCS1D01G403500	0.895	0.9508	1.6335	0.7696	4.4116	10.972
TRAESCS1D01G412200	26.7469	40.3565	61.31	23.1364	112.0786	264.4507
TRAESCS1D01G426000	5.0528	5.7957	9.664	4.575	13.8527	42.4219
TRAESCS2A01G014300	5.0637	5.6537	9.0265	4.4742	26.6323	60.3973
TRAESCS2A01G040100	12.7617	11.0754	16.8486	12.0279	28.7645	72.3326
TRAESCS2A01G121200	54.1528	55.6451	68.9917	59.4462	99.6666	171.7697
TRAESCS2A01G127300	2.5986	2.2959	3.1106	2.3277	5.0359	8.7733
TRAESCS2A01G146000	5.7336	5.6078	14.0208	6.6517	26.978	80.4608
TRAESCS2A01G157800	7.7282	9.9943	19.6385	5.6183	18.8276	36.6914
TRAESCS2A01G169300	11.0361	5.4981	12.3941	11.6148	34.6335	83.6915
TRAESCS2A01G190800	0.3697	1.3128	1.6534	0.538	2.3632	7.2896
TRAESCS2A01G198500	12.1051	24.7899	42.3175	11.5398	42.8302	113.3406
TRAESCS2A01G212000	5.7684	5.3132	7.1474	6.0151	9.8731	15.5793
TRAESCS2A01G213900	2.8065	3.4863	3.7443	3.1388	4.8874	7.9356
TRAESCS2A01G243200	36.4869	36.5153	44.4716	38.6349	68.9741	97.2268
TRAESCS2A01G263300	114.7363	146.1393	164.8927	119.6487	169.374	221.965
TRAESCS2A01G273800	0.0438	0.0711	0.2437	0.0793	1.3122	2.0455
TRAESCS2A01G290100	0.5879	2.7496	5.3313	0.7109	2.855	5.6075
TRAESCS2A01G327100	7.6383	9.1139	9.4067	7.7672	12.2422	19.5371
TRAESCS2A01G331100	1.5829	1.9414	2.8381	1.9847	4.7061	7.4645
TRAESCS2A01G356900	1.1803	1.3199	1.6882	1.4821	3.0175	5.9001
TRAESCS2A01G389400	0.3447	1.4051	2.3435	0.7264	5.656	19.2109
TRAESCS2A01G392900	2.6679	1.7398	1.6529	2.9083	4.8209	7.904
TRAESCS2A01G406900	1.1178	2.4148	3.0098	1.2586	16.066	92.39
TRAESCS2A01G410800	2.3195	1.3108	1.8836	2.4857	4.0029	5.7685
TRAESCS2A01G473100	0.7631	1.006	1.1795	0.8022	2.3138	4.9898
TRAESCS2A01G490200	6.8797	5.68	9.5988	7.5738	13.9507	19.846
TRAESCS2A01G507500	0.1287	0.4118	1.3149	0.0557	5.2667	23.8041
TRAESCS2A01G525500	32.9988	42.2831	19.1735	51.2787	385.6337	910.568
TRAESCS2A01G545600	43.3763	44.6705	47.785	36.772	84.3445	180.0253
TRAESCS2B01G002100	4.917	8.6051	11.5515	4.5526	17.2208	30.9432
TRAESCS2B01G048700	5.3659	3.9828	5.3809	4.3001	20.0187	57.3607
TRAESCS2B01G053000	8.1627	8.6402	14.7132	8.1595	24.4442	59.3419
TRAESCS2B01G118500	0.2885	0.725	1.8509	0.7729	6.9904	28.9258
TRAESCS2B01G119200	1.5182	1.4008	2.1676	1.8796	5.0199	14.3521
TRAESCS2B01G123900	32.5117	22.4016	52.4638	27.513	86.1459	165.1867
TRAESCS2B01G174500	1.4068	1.3306	1.9211	1.0983	5.3681	14.412
TRAESCS2B01G180200	3.596	4.502	5.4322	3.1371	7.4481	13.1016
TRAESCS2B01G182700	1.0183	0.8819	1.3315	0.8997	6.3143	15.3109
TRAESCS2B01G195600	15.2864	7.9402	17.6982	15.0622	43.4717	103.3538
TRAESCS2B01G215200	16.3808	18.1456	16.7557	16.5625	23.6322	31.7767
TRAESCS2B01G239400	3.6613	2.1404	4.0057	3.5151	6.1576	9.4583
TRAESCS2B01G261500	6.1118	3.1713	4.0137	5.4877	11.0322	15.2978
TRAESCS2B01G294500	0.8513	0.5544	1.2106	0.6303	8.7877	35.3184
TRAESCS2B01G333600	0.4637	0.917	1.6337	0.7773	7.0981	37.728
TRAESCS2B01G346000	0.8958	0.3529	0.9846	0.8475	2.5503	6.7838
TRAESCS2B01G354100	0.4677	0.546	0.2936	0.4168	2.2157	4.9469
TRAESCS2B01G381600	93.5925	114.9873	138.4173	83.6551	212.5083	336.682
TRAESCS2B01G390600	1.2926	1.3463	2.4642	1.5173	3.1679	5.8867
TRAESCS2B01G397300	0.1723	0.604	0.3644	0.3176	1.2773	2.6227
TRAESCS2B01G414800	0.0331	0.0464	0.2696	0.2343	12.7743	57.6829
TRAESCS2B01G424500	0.6053	0.6801	0.7397	0.5987	13.1032	64.6297
TRAESCS2B01G472100	6.7929	5.7537	4.9918	8.3563	18.1312	39.804
TRAESCS2B01G475100	0.2238	0.1671	1.0468	0.6167	8.6165	14.9388
TRAESCS2B01G476400	0.293	0.2404	0.496	0.4012	2.7908	5.5263
TRAESCS2B01G476700	24.6814	5.907	11.3509	26.2696	61.8987	98.9546
TRAESCS2B01G526700	8.742	8.0949	8.2604	8.0325	16.1369	28.3592
TRAESCS2B01G534700	7.5521	5.6305	6.8648	6.5484	13.9298	20.5217
TRAESCS2B01G576100	8.2055	10.9258	11.4563	7.8257	18.3217	39.436
TRAESCS2D01G038700	14.8715	16.1474	20.7544	13.4099	38.1081	79.3555
TRAESCS2D01G063000	0.1733	0.2539	0.7548	0.4518	6.185	38.8084
TRAESCS2D01G100900	0.3559	0.6505	2.3766	0.2158	5.1902	17.7915
TRAESCS2D01G101500	1.2677	1.1334	2.1519	1.8002	5.0774	15.8774
TRAESCS2D01G123300	60.9569	64.4976	71.5896	69.0898	120.7863	174.3567
TRAESCS2D01G147100	0.3274	0.1602	1.6126	0.122	1.6121	4.5728
TRAESCS2D01G152200	25.1664	28.5819	28.6189	24.005	42.5182	61.8125
TRAESCS2D01G163900	4.8209	4.4864	7.997	4.0851	12.7773	25.8029
TRAESCS2D01G176800	17.9767	8.7657	21.8142	17.8583	41.8302	98.1567
TRAESCS2D01G178200	1.1723	1.225	1.2736	1.3515	2.1339	3.3177
TRAESCS2D01G230600	0.2144	0.0947	0.2231	0.1523	0.7218	1.4992
TRAESCS2D01G252600	3.7789	3.5543	11.9196	3.2172	20.3348	79.0775
TRAESCS2D01G279500	7.2025	9.0435	10.1286	6.8923	25.1809	52.865
TRAESCS2D01G294700	3.2251	2.0651	3.2262	3.6343	6.6651	10.8178
TRAESCS2D01G299500	0.275	0.2429	0.8459	0.7883	2.9812	9.9278
TRAESCS2D01G361400	67.6864	74.1828	97.6149	62.3338	166.4883	480.9707
TRAESCS2D01G372000	0.257	0.5498	0.2869	0.4786	5.5827	15.681
TRAESCS2D01G403800	0.5159	0.8022	1.012	0.1761	11.8997	70.6754
TRAESCS2D01G408200	2.6716	1.704	2.1777	2.5699	4.6167	6.0622
TRAESCS2D01G498900	14.4278	13.8658	11.8571	14.1387	28.3568	39.9603
TRAESCS2D01G524500	1.3539	1.3679	1.3965	1.4295	2.4878	4.3538
TRAESCS2D01G534600	5.6674	5.9932	9.7576	5.2666	10.8152	18.5524
TRAESCS2D01G546500	51.163	55.4972	66.5195	43.7973	103.3789	229.3697
TRAESCS2D01G571900	0.8929	0.5884	0.7031	0.9998	1.9079	2.3842
TRAESCS3A01G006100	9.6327	11.3938	11.8502	9.9971	15.9683	21.5636
TRAESCS3A01G087300	1.3516	1.8072	2.5153	1.692	14.0547	36.3349
TRAESCS3A01G097400	0.1555	0.7558	3.342	0.315	3.723	9.7041
TRAESCS3A01G120900	3.872	3.4172	3.5726	4.6031	7.9816	12.2578
TRAESCS3A01G138800	0.4206	0.2192	0.7554	1.135	11.4614	44.1529
TRAESCS3A01G172900	6.4183	6.1357	7.4377	7.1893	15.1113	29.3173
TRAESCS3A01G186100	5.4306	4.8775	5.2027	5.9077	9.0927	14.5814
TRAESCS3A01G189300	8.7065	11.3985	11.5093	10.1693	24.9908	47.038
TRAESCS3A01G207500	10.1938	12.1171	16.7272	11.7227	19.5314	26.4642
TRAESCS3A01G212900	1.7972	1.2796	1.9582	1.7654	4.3626	6.8974
TRAESCS3A01G215400	0.8764	0.3706	1.8997	0.8086	5.5102	23.3604
TRAESCS3A01G226600	0.1144	1.3759	5.8148	0.3169	16.4324	100.9038
TRAESCS3A01G230600	10.2117	11.3401	11.7391	10.3015	15.2441	19.0313
TRAESCS3A01G232100	1.045	0.788	2.0464	0.6772	2.5812	5.0719
TRAESCS3A01G249300	2.3216	1.7656	1.8019	2.2005	9.2603	29.2609
TRAESCS3A01G250500	17.4842	14.734	15.8798	15.5217	34.4437	65.2002
TRAESCS3A01G276200	0.2511	0.1641	0.5602	0.5572	3.2942	13.5938
TRAESCS3A01G299000	9.2103	8.1192	9.069	9.3645	19.574	25.3958
TRAESCS3A01G306400	1.1724	1.005	1.2796	0.9548	2.9624	5.264
TRAESCS3A01G319900	2.1982	2.3469	2.8499	2.2195	4.2139	6.8043
TRAESCS3A01G337300	21.9245	24.875	33.1325	23.5761	42.7296	80.9077
TRAESCS3A01G346700	0.4392	0.0871	0.1253	0.4309	3.402	6.7358
TRAESCS3A01G357900	12.0344	13.3173	17.436	12.0951	22.51	29.8252
TRAESCS3A01G362200	0.677	0.4454	0.825	1.1989	8.6125	19.5428
TRAESCS3A01G400000	1.2826	1.198	3.5636	1.4284	6.5477	31.9142
TRAESCS3A01G420800	2.9141	2.7597	2.856	2.9966	6.1374	9.4734
TRAESCS3A01G422100	3.4381	9.0991	17.3973	3.4956	28.8643	129.1222
TRAESCS3A01G452300	0.9112	0.5657	0.2881	0.9319	3.7122	8.3747
TRAESCS3A01G455600	1.2235	1.2536	1.657	1.3032	2.7005	5.3549
TRAESCS3A01G487500	0.7013	1.5716	2.3459	1.0592	4.1112	12.9254
TRAESCS3A01G495800	3.0307	2.3072	3.1664	2.7648	7.798	14.642
TRAESCS3B01G039900	1.2709	1.2412	2.4233	1.5748	3.3241	6.481
TRAESCS3B01G166500	1.5585	2.2887	3.1636	2.2206	6.6355	11.4439
TRAESCS3B01G203800	8.1625	7.1253	12.7407	8.5049	19.8845	42.9881
TRAESCS3B01G217300	9.8819	9.8308	11.3697	8.9062	20.4331	26.7784
TRAESCS3B01G218500	5.9387	7.4261	9.3523	7.2398	20.8048	44.0918
TRAESCS3B01G221400	0.4292	0.4688	0.7723	0.5382	2.3598	6.2158
TRAESCS3B01G238600	8.4252	6.4136	6.2385	8.7706	12.7654	17.5174
TRAESCS3B01G247200	1.2983	0.782	0.6486	1.2887	12.6396	21.346
TRAESCS3B01G257900	0.759	0.3288	0.6688	0.5271	18.9433	98.8604
TRAESCS3B01G260300	0.7735	1.9073	6.3446	0.3171	8.9116	22.6124
TRAESCS3B01G310000	0.1818	0.3269	1.0392	0.4723	3.3653	17.4598
TRAESCS3B01G332500	0.9366	0.7395	1.44	1.2021	2.5396	4.6309
TRAESCS3B01G334300	1.164	7.7085	16.3076	1.3183	4.0697	9.6866
TRAESCS3B01G339400	0.0479	0	0	0.1691	2.4995	3.9331
TRAESCS3B01G356500	0.2104	0.63	0.7768	0.4397	3.7022	15.4904
TRAESCS3B01G368600	36.7754	35.678	52.5662	36.1381	78.4039	172.2253
TRAESCS3B01G377600	0.2825	0.8025	0.3929	0.5881	1.7238	3.0072
TRAESCS3B01G380600	0.4628	0.4364	0.2224	0.3523	1.9446	3.988
TRAESCS3B01G388700	0.2871	0.2221	0.1284	0.3548	2.1057	3.9804
TRAESCS3B01G394600	0.721	0.9152	1.2018	0.7198	7.4184	17.5248
TRAESCS3B01G411900	2.6254	2.8506	4.566	3.3821	5.8623	9.9449
TRAESCS3B01G457600	4.3566	4.4828	10.0197	3.8129	32.6032	141.6813
TRAESCS3B01G473300	13.3658	15.6057	20.3304	13.7558	20.6059	29.2499
TRAESCS3B01G525800	5.4148	6.8805	7.4484	5.559	10.8726	13.7384
TRAESCS3B01G543500	3.7955	4.3494	4.361	3.7006	5.8393	6.8682
TRAESCS3B01G575500	5.7382	5.9885	7.8549	5.442	17.7894	45.2005
TRAESCS3B01G575600	9.738	7.8973	7.9967	9.4247	14.6878	17.3446
TRAESCS3B01G590000	1.7948	2.1436	3.4574	2.4587	8.9853	28.593
TRAESCS3D01G036900	1.8933	1.6161	2.7499	2.3639	9.1393	19.991
TRAESCS3D01G037100	5.7451	4.2796	7.2286	6.7097	15.428	33.1686
TRAESCS3D01G037200	1.7677	1.5802	2.3501	1.729	4.3004	8.6623
TRAESCS3D01G097900	0.1131	0.4659	0.4289	0.1707	2.6583	5.4985
TRAESCS3D01G158700	1.1251	1.0859	1.6852	1.9311	4.601	9.0897
TRAESCS3D01G159100	9.3711	7.8037	11.9326	10.3621	20.5514	45.4856
TRAESCS3D01G188900	0.9797	0.9101	1.3259	0.9953	2.8299	5.9946
TRAESCS3D01G192800	6.6892	7.2498	8.0363	7.9091	16.2632	34.2594
TRAESCS3D01G230600	6.6958	3.9442	3.3413	5.3978	18.6908	45.4352
TRAESCS3D01G237000	3.6045	3.7397	4.9178	3.7748	6.0926	7.8411
TRAESCS3D01G276200	0.4177	0.089	0.5766	0.545	5.6138	30.1027
TRAESCS3D01G294300	3.5679	2.9794	4.4981	2.5295	10.7	28.1015
TRAESCS3D01G326900	12.3714	5.0388	7.4481	14.3852	31.4018	57.6337
TRAESCS3D01G330200	0.4923	1.4102	3.5668	0.7273	3.7248	15.8334
TRAESCS3D01G349800	0.2266	0.0898	0.3526	0.4008	2.4891	5.1981
TRAESCS3D01G351000	0.1184	0.5366	1.0567	0.2237	3.544	10.4932
TRAESCS3D01G355900	0.7224	1.2008	2.0015	0.86	9.7569	19.86
TRAESCS3D01G359100	0.1958	0.0611	0.3991	0.4036	2.9761	9.1737
TRAESCS3D01G372500	2.8377	3.0548	4.2831	3.1824	6.7742	12.7179
TRAESCS3D01G384000	17.8354	21.2711	24.6254	20.1194	41.5583	84.8965
TRAESCS3D01G392700	4.0127	3.3361	4.9568	4.3573	7.6201	13.0142
TRAESCS3D01G417500	1.3746	1.1738	2.3067	1.0202	24.7854	136.7803
TRAESCS3D01G441200	5.1722	6.002	10.1875	4.5076	9.4566	16.271
TRAESCS4A01G015900	13.4873	7.2813	8.8488	12.9899	33.8047	45.66
TRAESCS4A01G019900	4.7956	7.4196	7.583	4.502	16.5182	20.8552
TRAESCS4A01G028600	0.1879	0.4484	0.262	0.4103	5.2137	26.5387
TRAESCS4A01G032100	1.5302	1.3832	3.6532	2.109	7.1129	22.8786
TRAESCS4A01G050800	0.3061	0.367	0.2939	0.3879	1.9461	5.6908
TRAESCS4A01G065700	8.1185	8.9898	11.1712	9.8106	21.3569	57.6789
TRAESCS4A01G071300	21.9289	22.9694	21.6038	22.8079	31.4542	41.6788
TRAESCS4A01G092100	0.6054	1.0713	0.2839	0.544	7.4629	30.2565
TRAESCS4A01G106900	0.2075	0.1729	0.3187	0.1828	1.4171	4.2278
TRAESCS4A01G110600	0.9585	1.4292	1.1933	1.2316	3.345	6.3668
TRAESCS4A01G140000	3.3815	2.9571	5.2328	2.4106	10.2744	28.5055
TRAESCS4A01G166900	19.2168	16.6721	30.4677	21.6311	61.3368	154.0863
TRAESCS4A01G192500	9.3509	7.6771	7.8215	11.314	19.72	24.8616
TRAESCS4A01G202100	0.0441	0	0.0454	0.1804	1.2149	3.1781
TRAESCS4A01G204300	5.103	6.4065	7.8615	5.573	8.8269	11.8726
TRAESCS4A01G206900	58.583	54.7989	57.5973	60.1533	76.434	92.8437
TRAESCS4A01G214200	15.2093	12.8654	20.5094	13.6125	52.3021	139.9833
TRAESCS4A01G239800	2.1674	2.5822	2.4106	1.9791	7.5922	19.0724
TRAESCS4A01G246300	3.1578	4.0755	6.4788	3.4003	7.1192	10.1756
TRAESCS4A01G252800	19.9711	14.1687	15.2266	17.2769	55.5231	176.2643
TRAESCS4A01G266400	13.9258	16.412	16.7436	15.3262	20.1383	28.8581
TRAESCS4A01G268700	125.8823	129.269	135.1903	127.1327	164.6523	201.4983
TRAESCS4A01G319600	3.5262	5.9645	6.5471	5.064	12.3401	26.1877
TRAESCS4A01G343300	8.8831	9.3817	11.4135	7.2775	30.6436	62.3886
TRAESCS4A01G381500	11.9764	14.1123	17.8679	14.8304	22.3418	32.5816
TRAESCS4A01G401400	6.4386	3.2757	3.5367	4.626	20.6474	37.3281
TRAESCS4A01G404500	1.1305	4.5003	10.1143	1.3523	5.061	9.128
TRAESCS4A01G411000	16.0572	24.9797	37.2537	15.1245	43.0468	89.0846
TRAESCS4A01G419400	0.4388	2.8669	7.5574	1.1657	5.8616	26.6977
TRAESCS4A01G486000	0.1267	0.0776	1.365	0.1127	6.307	58.8405
TRAESCS4B01G029600	0.5696	0.1157	1.1819	1.0258	5.0333	18.2751
TRAESCS4B01G037900	0.3575	0.2481	0.5928	0.7542	8.2878	37.0975
TRAESCS4B01G046300	2.8695	2.9339	3.0057	3.3558	5.3025	8.0054
TRAESCS4B01G062500	35.0597	19.6601	20.0731	30.7539	96.9101	207.9283
TRAESCS4B01G071500	0.333	0.3101	0.7204	0.2769	7.0464	21.8544
TRAESCS4B01G094200	1.2171	1.2248	1.9017	1.3734	3.5479	7.4711
TRAESCS4B01G100800	1.0534	2.7367	2.7899	1.0669	8.6511	25.3045
TRAESCS4B01G144900	22.287	18.5225	35.2716	23.3624	68.2381	181.3513
TRAESCS4B01G167500	0.9353	1.9591	3.2394	0.7784	5.8312	13.7844
TRAESCS4B01G167600	4.0213	4.3358	3.8221	3.5977	7.6381	12.5441
TRAESCS4B01G204900	6.3797	6.2462	7.2562	7.4068	11.2395	17.1633
TRAESCS4B01G205200	12.9923	15.4736	23.1024	13.2991	30.6933	65.0205
TRAESCS4B01G205700	0.2699	0.3483	1.1489	0.703	3.3778	11.3988
TRAESCS4B01G206200	1.5224	1.3611	2.1252	1.3796	3.3778	5.8913
TRAESCS4B01G211600	0.9013	1.5617	1.0524	0.8929	2.9116	3.967
TRAESCS4B01G212200	0.5499	0.7249	0.5023	0.9553	17.4069	72.4902
TRAESCS4B01G212300	0.1415	0	0	0.2258	5.9522	33.245
TRAESCS4B01G229600	2.7243	2.6966	5.2134	3.4686	6.3924	13.3866
TRAESCS4B01G243100	7.8046	7.7048	10.0456	10.5296	24.3794	49.1515
TRAESCS4B01G250200	3.0292	1.8672	3.181	3.0065	7.2828	11.6957
TRAESCS4B01G288100	4.1198	1.3058	1.4675	3.6329	12.6895	15.9014
TRAESCS4B01G307900	2.0432	2.1024	3.0538	2.0941	3.8921	6.1455
TRAESCS4B01G324400	7.747	7.8143	9.8928	7.969	15.0672	32.0616
TRAESCS4B01G325900	8.37	10.1503	10.8555	7.9021	13.1752	18.151
TRAESCS4B01G346900	0.432	0.0712	0.5151	0.44	9.9774	79.7303
TRAESCS4B01G397700	4.2965	4.6014	5.5799	4.0715	8.8642	13.6472
TRAESCS4D01G035100	0.9124	0.7091	0.7329	1.06	2.5537	4.8397
TRAESCS4D01G035200	0.2102	0.1804	1.1824	0.3294	2.1559	6.2784
TRAESCS4D01G097400	0.9322	1.6107	2.4578	1.3956	9.2076	31.8493
TRAESCS4D01G098400	16.755	14.1441	20.7443	17.6425	73.1123	268.7593
TRAESCS4D01G108200	44.8453	46.9467	49.3598	48.9651	64.4703	87.6307
TRAESCS4D01G113800	4.1448	4.052	7.8381	3.8191	8.7595	17.3322
TRAESCS4D01G119400	0.3969	0.3146	0.3617	0.3649	3.8096	18.4025
TRAESCS4D01G127100	0.1288	0	0.3451	0.1267	1.6318	4.7839
TRAESCS4D01G151900	16.5043	16.0699	29.4095	20.683	58.7477	165.593
TRAESCS4D01G169800	1.4644	5.0698	6.2819	1.3541	6.8161	16.6951
TRAESCS4D01G175700	0.4006	0.6127	1.6061	0.3728	2.2885	5.048
TRAESCS4D01G181800	0.4174	0.3767	0.1189	0.4876	2.8663	5.904
TRAESCS4D01G192100	6.8611	7.199	10.76	7.443	11.857	14.9036
TRAESCS4D01G200200	5.2412	6.7714	6.7852	5.5732	9.7664	17.2789
TRAESCS4D01G227700	0.0841	0.0395	0.1631	0.0569	1.1482	2.4824
TRAESCS4D01G230700	3.4347	2.9155	4.2964	3.9099	6.2184	11.2185
TRAESCS4D01G236000	1.4712	4.4013	5.3525	1.4019	4.7215	11.4125
TRAESCS4D01G237700	0.5413	0.3675	0.5102	0.3724	2.0284	4.8419
TRAESCS4D01G250100	3.1806	2.7526	3.3258	3.8074	9.2843	16.0909
TRAESCS4D01G302500	0.8033	2.559	5.5073	1.3562	4.2588	13.6091
TRAESCS4D01G309000	22.0473	44.5329	74.1443	19.0645	54.3498	73.0015
TRAESCS4D01G331100	5.0909	4.4185	4.3877	5.5903	11.2518	16.5147
TRAESCS4D01G339000	1.9988	0.9499	1.3059	1.8065	8.4168	34.2042
TRAESCS4D01G341800	0.3288	0.3825	0.7362	0.8891	15.2732	80.7134
TRAESCS5A01G003200	1.7775	2.1872	2.7705	2.1464	3.8839	7.8086
TRAESCS5A01G015900	4.6067	5.2816	6.0466	4.8581	9.0037	15.1191
TRAESCS5A01G053700	1.0189	0.9278	1.3473	0.9522	4.27	7.9833
