Gene Long name,Gene Long Name,Gene Short Name,R1M-A2_V2,R2M-A2_V2,R3M-A2_V2,R1M-A4_V2,R2M-A4_V2,R3M-A4_V2,R1M-A6_V2,R2M-A6_V2,R3M-A6_V2,R1M-B2_V2,R2M-B2_V2,R3M-B2_V2,R1M-B4_V2,R2M-B4_V2,R3M-B4_V2,R1M-B6_V2,R2M-B6_V2,R3M-B6_V2,R1T-A2_V2,R2T-A2_V2,R3T-A2_V2,R1T-A4_V2,R2T-A4_V2,R3T-A4_V2,R1T-A6_V2,R2T-A6_V2,R3T-A6_V2,R1T-B2_V2,R2T-B2_V2,R3T-B2_V2,R1T-B4_V2,R2T-B4_V2,R3T-B4_V2,R1T-B6_V2,R2T-B6_V2,R3T-B6_V2
TraesCS1A01G385400,TraesCS1A01G385400,EDR3,11.0867,8.12448,16.9191,7.70732,12.628,11.4139,14.6839,11.5301,14.8728,11.5568,10.0562,11.2137,8.34361,12.0707,14.2925,10.2677,11.57,24.1965,11.1207,11.0258,11.415,14.9535,14.9716,18.8485,28.5682,30.8087,35.1178,11.4288,13.4525,8.58914,18.2729,16.3663,20.937,25.407,21.7428,25.6562
TraesCS1B01G411700,TraesCS1B01G411700,EDR3,11.9466,9.49181,15.6688,8.00189,11.8019,12.1364,13.8861,10.6284,14.0705,11.3029,11.6255,15.1178,10.8239,9.57681,13.795,12.465,10.7288,23.0451,12.8971,12.485,12.6171,14.3086,17.3259,19.6565,25.4172,30.2376,32.7663,15.8609,12.8992,6.68997,16.5271,15.0836,19.0586,24.1246,25.1679,24.0647
TraesCS1D01G393000,TraesCS1D01G393000,EDR3,17.6232,14.396,22.5384,10.955,17.2153,15.2711,18.5677,16.3813,16.7737,16.4563,16.3117,18.564,15.7436,12.7691,17.0153,19.634,15.3564,31.8245,16.1783,15.8433,16.5898,19.5683,21.8104,24.1135,39.0501,39.5402,42.3312,18.2585,17.7653,12.2845,25.3226,20.9873,31.1614,35.6113,29.9019,36.0148
TraesCS4A01G266600,TraesCS4A01G266600,EDR3,6.85139,5.05314,10.8637,6.94143,9.40268,9.78788,8.95028,8.95447,10.1385,7.26231,9.08567,8.56191,8.22708,11.8608,9.54752,10.4275,6.29939,19.3803,5.68632,7.92706,6.82958,9.20202,10.8046,17.1115,22.1424,27.4803,26.8158,6.67348,7.47878,6.27099,12.8156,9.16727,14.6647,19.6865,17.4048,18.8209
TraesCS4B01G047700,TraesCS4B01G047700,EDR3,7.85132,6.63225,12.3276,6.08564,10.3754,11.7936,13.3066,8.95447,12.7429,7.56491,9.26558,11.3733,10.1104,11.0642,10.1505,11.8095,9.44909,18.7904,6.7326,6.94111,8.15143,11.3473,12.5333,18.7656,25.2561,28.5315,35.7544,9.75708,9.29065,6.71036,13.8068,12.7786,17.1852,21.7079,21.6575,25.9052
TraesCS4D01G047600,TraesCS4D01G047600,EDR3,9.77712,6.63225,10.3244,6.3709,9.61884,8.66468,11.9601,10.6091,11.9058,9.42372,10.1652,11.5011,8.62356,9.47094,10.854,12.6889,13.2287,19.8016,7.27849,8.04538,8.66548,9.31493,13.2896,16.9974,28.4852,30.3335,35.1449,8.51443,10.7556,8.42789,15.2229,12.5564,18.7892,25.3112,22.4451,25.588
TraesCS5A01G019200,TraesCS5A01G019200,FAH1,10.0721,1.51084,1.7154,1.21419,1.54917,1.66278,1.76461,1.24363,2.81544,12.9736,1.2893,1.82914,0.948931,0.423434,2.39944,2.7963,1.84425,1.34075,0.652042,1.00443,1.5207,3.31735,3.77256,7.69855,11.7193,14.5498,11.9374,1.75952,1.47343,1.84387,4.16007,3.79471,9.54636,21.0278,14.996,43.993
TraesCS5B01G016700,TraesCS5B01G016700,FAH1,22.3126,7.62351,1.94584,1.17095,0.98859,0.737957,1.20776,0.360688,1.14709,29.3534,0.549476,1.41202,1.9374,0.545482,0.928784,0.766055,0.64702,1.7081,2.04613,3.94733,0.465465,0.858455,0.892827,1.04807,1.8635,2.28579,4.29382,4.89491,3.62426,1.86351,0.910747,5.66758,1.91055,5.25954,4.04797,7.579
TraesCS5D01G024600,TraesCS5D01G024600,FAH1,12.1336,3.39939,1.83793,0.607097,0.344259,0.511625,1.51252,1.24363,1.48181,23.1327,2.14883,0.609713,0.790776,0.282289,0.479888,0.199735,0,2.1452,2.02857,2.07164,0.467909,1.97248,2.31498,3.44171,11.9024,11.9261,11.2921,4.17886,2.70129,0.508654,2.92329,4.8537,5.09139,15.0398,8.74764,29.8884
TraesCS4B01G243500,TraesCS4B01G243500,Lr67,1.13305,0.382116,2.01446,3.03463,1.56848,3.85105,6.48143,6.59775,5.56811,0.839998,0.863624,1.25635,1.24836,1.9526,2.91621,5.3852,6.89694,9.32074,3.27805,1.18913,1.43366,2.72297,4.70163,3.40706,4.04466,3.34689,5.85972,2.1487,1.98178,2.37267,5.58592,5.62356,12.4902,15.0506,13.4248,31.341
